sq_measure_Cat,sq_inspection_stage,sq_question_number,sq_question,sq_can_have_photo,sq_na_allowed,sq_unable_to_validate_allowed,sq_remote_reinspection_allowed,sq_score_monitoring,sq_nc_severity,sq_uses_dropdown,sq_dropdown_list,sq_innovation_measure,sq_innovation_question_list,sq_Measure_type,Sq_Innovation_Product
All Measures,Post,TMQ.1,"Have all avoidable thermal bridges/heat loss areas which could have been insulated, been insulated? ",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
All Measures,Post,TMQ.2,Has 100% of the measure been installed where possible? ,TRUE,FALSE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
Monitored Measures,Post,TMQ.3,Has appropriate monitoring equipment been installed into the property?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
All Measures,Post,H&S.1,Do any faults specific to the measure installed present an immediate risk to the occupier or the property?,TRUE,TRUE,TRUE,FALSE,FALSE,Cat1,FALSE,,FALSE,,,
All Measures,Post,H&S.2,Do you believe that there are any other safety related issues with the installation? ,TRUE,TRUE,TRUE,FALSE,FALSE,High,FALSE,,FALSE,,,
ASHP,Post,ASHP.1,"Where pipework has either been replaced, exposed, or been made accessible as part of the work within an unheated space within the building envelope, has this been insulated?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.2,"If holes or openings have been made through the fabric of the premises due to the installation of a new heat pump, have they been made good? (including condensate pipe,  pressure relief valve, gas flue terminals)",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.3,Does the heat pump produce hot water for the central heating system?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
ASHP,Post,ASHP.4,"If the heat pump is designed to produce domestic hot water, is the boiler or heat pump producing domestic hot water?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
ASHP,Post,ASHP.5,"If original heating controls remain, do they function correctly with the boiler?    ",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
ASHP,Post,ASHP.6,Are all habitable rooms heated ?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.7,"Do the heating controls installed encompass a programmer, thermostat?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.8,Is the heat pump location to avoid detrimental performance from the re-circulation of chilled air?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
